observation_id,material_family,material_id,doping,observable,value,unit,uncertainty,split,source_id,provenance,usable_for_fit,source_url,curation_note
lsco-x022-optical-missing,cuprate,LSCO,x=0.220,optical_spectral_weight_proxy,,relative,,test,missing-optical-x022,"Need integrated optical spectral-weight or agreed proxy at this doping",false,,"placeholder row"
lsco-lemberger-x0060a-tc,cuprate,LSCO-film-0.060a,x=0.060,tc_k,16,K,,train,lemberger-2010-lsco-lambda,"Lemberger et al. Table I reports Tc(lambda^-2)=16 K for nominal x=0.06 LSCO film with lambda^-2(0)=1.3 um^-2",true,https://arxiv.org/pdf/1010.1243,"same film table as penetration-depth row; nominal Sr doping"
lsco-lemberger-x0060a-penetration,cuprate,LSCO-film-0.060a,x=0.060,penetration_depth_nm,877.1,nm,"computed from lambda^-2(0)=1.3 um^-2 as lambda_nm=1000/sqrt(lambda^-2)",train,lemberger-2010-lsco-lambda,"Lemberger et al. Table I reports lambda^-2(0)=1.3 um^-2 for nominal x=0.06 LSCO film",true,https://arxiv.org/pdf/1010.1243,"computed absolute penetration depth from tabulated inverse-square penetration depth"
lsco-lemberger-x0060a-condensate-weight,cuprate,LSCO-film-0.060a,x=0.060,optical_spectral_weight_proxy,1.3,um^-2,,train,lemberger-2010-lsco-lambda,"lambda^-2(0) is proportional to superfluid/condensate spectral weight and is used here as S_delta proxy",true,https://arxiv.org/pdf/1010.1243,"condensate spectral-weight proxy; not a finite-frequency optical missing-area integral"
lsco-lemberger-x0060b-tc,cuprate,LSCO-film-0.060b,x=0.060,tc_k,23,K,,train,lemberger-2010-lsco-lambda,"Lemberger et al. Table I reports Tc(lambda^-2)=23 K for second nominal x=0.06 LSCO film with lambda^-2(0)=4.5 um^-2",true,https://arxiv.org/pdf/1010.1243,"same film table as penetration-depth row; nominal Sr doping"
lsco-lemberger-x0060b-penetration,cuprate,LSCO-film-0.060b,x=0.060,penetration_depth_nm,471.4,nm,"computed from lambda^-2(0)=4.5 um^-2 as lambda_nm=1000/sqrt(lambda^-2)",train,lemberger-2010-lsco-lambda,"Lemberger et al. Table I reports lambda^-2(0)=4.5 um^-2 for second nominal x=0.06 LSCO film",true,https://arxiv.org/pdf/1010.1243,"computed absolute penetration depth from tabulated inverse-square penetration depth"
lsco-lemberger-x0060b-condensate-weight,cuprate,LSCO-film-0.060b,x=0.060,optical_spectral_weight_proxy,4.5,um^-2,,train,lemberger-2010-lsco-lambda,"lambda^-2(0) is proportional to superfluid/condensate spectral weight and is used here as S_delta proxy",true,https://arxiv.org/pdf/1010.1243,"condensate spectral-weight proxy; not a finite-frequency optical missing-area integral"
lsco-lemberger-x0090a-tc,cuprate,LSCO-film-0.090a,x=0.090,tc_k,33,K,,train,lemberger-2010-lsco-lambda,"Lemberger et al. Table I reports Tc(lambda^-2)=33 K for nominal x=0.09 LSCO film with lambda^-2(0)=6 um^-2",true,https://arxiv.org/pdf/1010.1243,"same film table as penetration-depth row; nominal Sr doping"
lsco-lemberger-x0090a-penetration,cuprate,LSCO-film-0.090a,x=0.090,penetration_depth_nm,408.2,nm,"computed from lambda^-2(0)=6 um^-2 as lambda_nm=1000/sqrt(lambda^-2)",train,lemberger-2010-lsco-lambda,"Lemberger et al. Table I reports lambda^-2(0)=6 um^-2 for nominal x=0.09 LSCO film",true,https://arxiv.org/pdf/1010.1243,"computed absolute penetration depth from tabulated inverse-square penetration depth"
lsco-lemberger-x0090a-condensate-weight,cuprate,LSCO-film-0.090a,x=0.090,optical_spectral_weight_proxy,6,um^-2,,train,lemberger-2010-lsco-lambda,"lambda^-2(0) is proportional to superfluid/condensate spectral weight and is used here as S_delta proxy",true,https://arxiv.org/pdf/1010.1243,"condensate spectral-weight proxy; not a finite-frequency optical missing-area integral"
lsco-lemberger-x0090b-tc,cuprate,LSCO-film-0.090b,x=0.090,tc_k,38,K,,train,lemberger-2010-lsco-lambda,"Lemberger et al. Table I reports Tc(lambda^-2)=38 K for second nominal x=0.09 LSCO film with lambda^-2(0)=10.5 um^-2",true,https://arxiv.org/pdf/1010.1243,"same film table as penetration-depth row; nominal Sr doping"
lsco-lemberger-x0090b-penetration,cuprate,LSCO-film-0.090b,x=0.090,penetration_depth_nm,308.6,nm,"computed from lambda^-2(0)=10.5 um^-2 as lambda_nm=1000/sqrt(lambda^-2)",train,lemberger-2010-lsco-lambda,"Lemberger et al. Table I reports lambda^-2(0)=10.5 um^-2 for second nominal x=0.09 LSCO film",true,https://arxiv.org/pdf/1010.1243,"computed absolute penetration depth from tabulated inverse-square penetration depth"
lsco-lemberger-x0090b-condensate-weight,cuprate,LSCO-film-0.090b,x=0.090,optical_spectral_weight_proxy,10.5,um^-2,,train,lemberger-2010-lsco-lambda,"lambda^-2(0) is proportional to superfluid/condensate spectral weight and is used here as S_delta proxy",true,https://arxiv.org/pdf/1010.1243,"condensate spectral-weight proxy; not a finite-frequency optical missing-area integral"
lsco-lemberger-x0120-tc,cuprate,LSCO-film-0.120,x=0.120,tc_k,39,K,,train,lemberger-2010-lsco-lambda,"Lemberger et al. Table I reports Tc(lambda^-2)=39 K for nominal x=0.12 LSCO film with lambda^-2(0)=12.5 um^-2",true,https://arxiv.org/pdf/1010.1243,"same film table as penetration-depth row; nominal Sr doping"
lsco-lemberger-x0120-penetration,cuprate,LSCO-film-0.120,x=0.120,penetration_depth_nm,282.8,nm,"computed from lambda^-2(0)=12.5 um^-2 as lambda_nm=1000/sqrt(lambda^-2)",train,lemberger-2010-lsco-lambda,"Lemberger et al. Table I reports lambda^-2(0)=12.5 um^-2 for nominal x=0.12 LSCO film",true,https://arxiv.org/pdf/1010.1243,"computed absolute penetration depth from tabulated inverse-square penetration depth"
lsco-lemberger-x0120-condensate-weight,cuprate,LSCO-film-0.120,x=0.120,optical_spectral_weight_proxy,12.5,um^-2,,train,lemberger-2010-lsco-lambda,"lambda^-2(0) is proportional to superfluid/condensate spectral weight and is used here as S_delta proxy",true,https://arxiv.org/pdf/1010.1243,"condensate spectral-weight proxy; not a finite-frequency optical missing-area integral"
lsco-lemberger-x0150-tc,cuprate,LSCO-film-0.150,x=0.150,tc_k,42,K,,train,lemberger-2010-lsco-lambda,"Lemberger et al. Table I reports Tc(lambda^-2)=42 K for nominal x=0.15 LSCO film with lambda^-2(0)=17.4 um^-2",true,https://arxiv.org/pdf/1010.1243,"same film table as penetration-depth row; nominal Sr doping"
lsco-lemberger-x0150-penetration,cuprate,LSCO-film-0.150,x=0.150,penetration_depth_nm,239.7,nm,"computed from lambda^-2(0)=17.4 um^-2 as lambda_nm=1000/sqrt(lambda^-2)",train,lemberger-2010-lsco-lambda,"Lemberger et al. Table I reports lambda^-2(0)=17.4 um^-2 for nominal x=0.15 LSCO film",true,https://arxiv.org/pdf/1010.1243,"computed absolute penetration depth from tabulated inverse-square penetration depth"
lsco-lemberger-x0150-condensate-weight,cuprate,LSCO-film-0.150,x=0.150,optical_spectral_weight_proxy,17.4,um^-2,,train,lemberger-2010-lsco-lambda,"lambda^-2(0) is proportional to superfluid/condensate spectral weight and is used here as S_delta proxy",true,https://arxiv.org/pdf/1010.1243,"condensate spectral-weight proxy; not a finite-frequency optical missing-area integral"
lsco-lemberger-x0180-tc,cuprate,LSCO-film-0.180,x=0.180,tc_k,38,K,,validation,lemberger-2010-lsco-lambda,"Lemberger et al. Table I reports Tc(lambda^-2)=38 K for nominal x=0.18 LSCO film with lambda^-2(0)=21.5 um^-2",true,https://arxiv.org/pdf/1010.1243,"same film table as penetration-depth row; nominal Sr doping"
lsco-lemberger-x0180-penetration,cuprate,LSCO-film-0.180,x=0.180,penetration_depth_nm,215.7,nm,"computed from lambda^-2(0)=21.5 um^-2 as lambda_nm=1000/sqrt(lambda^-2)",validation,lemberger-2010-lsco-lambda,"Lemberger et al. Table I reports lambda^-2(0)=21.5 um^-2 for nominal x=0.18 LSCO film",true,https://arxiv.org/pdf/1010.1243,"computed absolute penetration depth from tabulated inverse-square penetration depth"
lsco-lemberger-x0180-condensate-weight,cuprate,LSCO-film-0.180,x=0.180,optical_spectral_weight_proxy,21.5,um^-2,,validation,lemberger-2010-lsco-lambda,"lambda^-2(0) is proportional to superfluid/condensate spectral weight and is used here as S_delta proxy",true,https://arxiv.org/pdf/1010.1243,"condensate spectral-weight proxy; not a finite-frequency optical missing-area integral"
lsco-lemberger-x0210-tc,cuprate,LSCO-film-0.210,x=0.210,tc_k,32,K,,validation,lemberger-2010-lsco-lambda,"Lemberger et al. Table I reports Tc(lambda^-2)=32 K for nominal x=0.21 LSCO film with lambda^-2(0)=20.3 um^-2",true,https://arxiv.org/pdf/1010.1243,"same film table as penetration-depth row; nominal Sr doping"
lsco-lemberger-x0210-penetration,cuprate,LSCO-film-0.210,x=0.210,penetration_depth_nm,221.9,nm,"computed from lambda^-2(0)=20.3 um^-2 as lambda_nm=1000/sqrt(lambda^-2)",validation,lemberger-2010-lsco-lambda,"Lemberger et al. Table I reports lambda^-2(0)=20.3 um^-2 for nominal x=0.21 LSCO film",true,https://arxiv.org/pdf/1010.1243,"computed absolute penetration depth from tabulated inverse-square penetration depth"
lsco-lemberger-x0210-condensate-weight,cuprate,LSCO-film-0.210,x=0.210,optical_spectral_weight_proxy,20.3,um^-2,,validation,lemberger-2010-lsco-lambda,"lambda^-2(0) is proportional to superfluid/condensate spectral weight and is used here as S_delta proxy",true,https://arxiv.org/pdf/1010.1243,"condensate spectral-weight proxy; not a finite-frequency optical missing-area integral"
lsco-lemberger-x0240-tc,cuprate,LSCO-film-0.240,x=0.240,tc_k,18.5,K,,test,lemberger-2010-lsco-lambda,"Lemberger et al. Table I reports Tc(lambda^-2)=18.5 K for nominal x=0.24 LSCO film with lambda^-2(0)=11.1 um^-2",true,https://arxiv.org/pdf/1010.1243,"same film table as penetration-depth row; nominal Sr doping"
lsco-lemberger-x0240-penetration,cuprate,LSCO-film-0.240,x=0.240,penetration_depth_nm,300.2,nm,"computed from lambda^-2(0)=11.1 um^-2 as lambda_nm=1000/sqrt(lambda^-2)",test,lemberger-2010-lsco-lambda,"Lemberger et al. Table I reports lambda^-2(0)=11.1 um^-2 for nominal x=0.24 LSCO film",true,https://arxiv.org/pdf/1010.1243,"computed absolute penetration depth from tabulated inverse-square penetration depth"
lsco-lemberger-x0240-condensate-weight,cuprate,LSCO-film-0.240,x=0.240,optical_spectral_weight_proxy,11.1,um^-2,,test,lemberger-2010-lsco-lambda,"lambda^-2(0) is proportional to superfluid/condensate spectral weight and is used here as S_delta proxy",true,https://arxiv.org/pdf/1010.1243,"condensate spectral-weight proxy; not a finite-frequency optical missing-area integral"
lsco-lemberger-x0270a-tc,cuprate,LSCO-film-0.270a,x=0.270,tc_k,3.9,K,,test,lemberger-2010-lsco-lambda,"Lemberger et al. Table I reports Tc(lambda^-2)=3.9 K for nominal x=0.27 LSCO film with lambda^-2(0)=0.15 um^-2",true,https://arxiv.org/pdf/1010.1243,"same film table as penetration-depth row; nominal Sr doping"
lsco-lemberger-x0270a-penetration,cuprate,LSCO-film-0.270a,x=0.270,penetration_depth_nm,2582.0,nm,"computed from lambda^-2(0)=0.15 um^-2 as lambda_nm=1000/sqrt(lambda^-2)",test,lemberger-2010-lsco-lambda,"Lemberger et al. Table I reports lambda^-2(0)=0.15 um^-2 for nominal x=0.27 LSCO film",true,https://arxiv.org/pdf/1010.1243,"computed absolute penetration depth from tabulated inverse-square penetration depth"
lsco-lemberger-x0270a-condensate-weight,cuprate,LSCO-film-0.270a,x=0.270,optical_spectral_weight_proxy,0.15,um^-2,,test,lemberger-2010-lsco-lambda,"lambda^-2(0) is proportional to superfluid/condensate spectral weight and is used here as S_delta proxy",true,https://arxiv.org/pdf/1010.1243,"condensate spectral-weight proxy; not a finite-frequency optical missing-area integral"
lsco-lemberger-x0270b-tc,cuprate,LSCO-film-0.270b,x=0.270,tc_k,20,K,,test,lemberger-2010-lsco-lambda,"Lemberger et al. Table I reports Tc(lambda^-2)=20 K for second nominal x=0.27 LSCO film with lambda^-2(0)=3.4 um^-2",true,https://arxiv.org/pdf/1010.1243,"same film table as penetration-depth row; nominal Sr doping; different growth protocol noted by source"
lsco-lemberger-x0270b-penetration,cuprate,LSCO-film-0.270b,x=0.270,penetration_depth_nm,542.3,nm,"computed from lambda^-2(0)=3.4 um^-2 as lambda_nm=1000/sqrt(lambda^-2)",test,lemberger-2010-lsco-lambda,"Lemberger et al. Table I reports lambda^-2(0)=3.4 um^-2 for second nominal x=0.27 LSCO film",true,https://arxiv.org/pdf/1010.1243,"computed absolute penetration depth from tabulated inverse-square penetration depth; source notes later different growth protocol"
lsco-lemberger-x0270b-condensate-weight,cuprate,LSCO-film-0.270b,x=0.270,optical_spectral_weight_proxy,3.4,um^-2,,test,lemberger-2010-lsco-lambda,"lambda^-2(0) is proportional to superfluid/condensate spectral weight and is used here as S_delta proxy",true,https://arxiv.org/pdf/1010.1243,"condensate spectral-weight proxy; not a finite-frequency optical missing-area integral"
lsco-lemberger-x0300-tc,cuprate,LSCO-film-0.300,x=0.300,tc_k,8.5,K,,test,lemberger-2010-lsco-lambda,"Lemberger et al. Table I reports Tc(lambda^-2)=8.5 K for nominal x=0.30 LSCO film with lambda^-2(0)=0.8 um^-2",true,https://arxiv.org/pdf/1010.1243,"same film table as penetration-depth row; nominal Sr doping; later different growth protocol noted by source"
lsco-lemberger-x0300-penetration,cuprate,LSCO-film-0.300,x=0.300,penetration_depth_nm,1118.0,nm,"computed from lambda^-2(0)=0.8 um^-2 as lambda_nm=1000/sqrt(lambda^-2)",test,lemberger-2010-lsco-lambda,"Lemberger et al. Table I reports lambda^-2(0)=0.8 um^-2 for nominal x=0.30 LSCO film",true,https://arxiv.org/pdf/1010.1243,"computed absolute penetration depth from tabulated inverse-square penetration depth; source notes later different growth protocol"
lsco-lemberger-x0300-condensate-weight,cuprate,LSCO-film-0.300,x=0.300,optical_spectral_weight_proxy,0.8,um^-2,,test,lemberger-2010-lsco-lambda,"lambda^-2(0) is proportional to superfluid/condensate spectral weight and is used here as S_delta proxy",true,https://arxiv.org/pdf/1010.1243,"condensate spectral-weight proxy; not a finite-frequency optical missing-area integral"
lsco-mahmood-x023-tdts-optical-needed,cuprate,LSCO-overdoped-TDTS,x~0.230,optical_spectral_weight_proxy,,S_delta/Sn,,test,mahmood-2018-missing-electrons,"Mahmood et al. Fig. 2e reports normalized superfluid spectral weight S_delta/Sn and uncondensed spectral weight Su/Sn from TDTS plus mutual inductance",false,https://arxiv.org/abs/1802.02101,"true integrated optical spectral-weight source identified; exact numeric values require figure digitization or supplementary table before fit use"
lsco-mahmood-overdoped-tdts-needed,cuprate,LSCO-overdoped-TDTS,overdoped-series,optical_spectral_weight_proxy,,S_delta/Sn;Su/Sn,,test,mahmood-2018-missing-electrons,"Mahmood et al. quantify S_delta/Sn and Su/Sn across overdoped LSCO films and state S_delta+Su approximately satisfies the FGT sum-rule balance",false,https://arxiv.org/abs/1802.02101,"documents real integrated optical redistribution target; no fabricated numeric values entered"
